album_name,song_title,singers,star_cast,music_director,director,year,thumbnail_url,download_link
-Adipurush,Ram Sita Ram,"Karthik, Sachet Tandon, Parampara Tandon","-Prabhas, Kriti Sanon, Saif Ali Khan, Sunny Singh","-Ankit Balhara, Sanchit Balhara, Ajay Gogavale, Atul Gogavale",-Om Raut,,https://sensongsmp3.live/wp-content/uploads/2023/05/Adipurush-songs-download-2023-telugu-prabhash.jpg,https://mp3teluguwap.net/mp3/2023/Adipurush%20(2023)/Adipurush%20(2023)%20-%20HQ/Ram%20Sita%20Ram.mp3
-Adipurush,Shivoham,Haricharan,"-Prabhas, Kriti Sanon, Saif Ali Khan, Sunny Singh","-Ankit Balhara, Sanchit Balhara, Ajay Gogavale, Atul Gogavale",-Om Raut,,https://sensongsmp3.live/wp-content/uploads/2023/05/Adipurush-songs-download-2023-telugu-prabhash.jpg,https://mp3teluguwap.net/mp3/2023/Adipurush%20(2023)/Adipurush%20(2023)%20-%20HQ/Shivoham.mp3
-Adipurush,Priya Mithunam,"Karthik, Shweta Mohan","-Prabhas, Kriti Sanon, Saif Ali Khan, Sunny Singh","-Ankit Balhara, Sanchit Balhara, Ajay Gogavale, Atul Gogavale",-Om Raut,,https://sensongsmp3.live/wp-content/uploads/2023/05/Adipurush-songs-download-2023-telugu-prabhash.jpg,https://mp3teluguwap.net/mp3/2023/Adipurush%20(2023)/Adipurush%20(2023)%20-%20HQ/Priya%20Mithunam.mp3
-Adipurush,Huppa Huiya,Sukhwinder Singh,"-Prabhas, Kriti Sanon, Saif Ali Khan, Sunny Singh","-Ankit Balhara, Sanchit Balhara, Ajay Gogavale, Atul Gogavale",-Om Raut,,https://sensongsmp3.live/wp-content/uploads/2023/05/Adipurush-songs-download-2023-telugu-prabhash.jpg,https://mp3teluguwap.net/mp3/2023/Adipurush%20(2023)/Adipurush%20(2023)%20-%20HQ/Huppa%20Huiya.mp3
-Agent,Malli Malli,Hiphop Tamizha,"-Akhil Akkineni, Mammotty, Sakshi Vaidya",-Hip Hop Thamizha,-Surendar Reddy,,https://sensongsmp3.live/wp-content/uploads/2023/03/Agent-2023-Telugu-Mp3-Songs-Download-Akhil-Akkineni-Mammotty-Sakshi-Vaidya-Hip-Ho-Tamizha.jpg,https://mp3teluguwap.net/mp3/2023/Agent/Agent%20-%20HQ/Malli%20Malli.mp3
-Agent,Endhe Endhe,"Sanjith Hegde, Hiphop Tamizha, Padmalatha","-Akhil Akkineni, Mammotty, Sakshi Vaidya",-Hip Hop Thamizha,-Surendar Reddy,,https://sensongsmp3.live/wp-content/uploads/2023/03/Agent-2023-Telugu-Mp3-Songs-Download-Akhil-Akkineni-Mammotty-Sakshi-Vaidya-Hip-Ho-Tamizha.jpg,https://mp3teluguwap.net/mp3/2023/Agent/Agent%20-%20HQ/Endhe%20Endhe.mp3
-Agent,Rama Krishna,Ram Miriyala,"-Akhil Akkineni, Mammotty, Sakshi Vaidya",-Hip Hop Thamizha,-Surendar Reddy,,https://sensongsmp3.live/wp-content/uploads/2023/03/Agent-2023-Telugu-Mp3-Songs-Download-Akhil-Akkineni-Mammotty-Sakshi-Vaidya-Hip-Ho-Tamizha.jpg,https://mp3teluguwap.net/mp3/2023/Agent/Agent%20-%20HQ/Rama%20Krishna.mp3
-Agent,Wild Saala,"Sravana Bhargavi, Bheems Ceciroleo","-Akhil Akkineni, Mammotty, Sakshi Vaidya",-Hip Hop Thamizha,-Surendar Reddy,,https://sensongsmp3.live/wp-content/uploads/2023/03/Agent-2023-Telugu-Mp3-Songs-Download-Akhil-Akkineni-Mammotty-Sakshi-Vaidya-Hip-Ho-Tamizha.jpg,https://mp3teluguwap.net/mp3/2023/Agent/Agent%20-%20HQ/Wild%20Saala.mp3
-Amigos,Yeka Yeka,,"-Kalyan Ram, Ashika Ranganathan",-Ghibran,-Rajendra Reddy,,https://sensongsmp3.live/wp-content/uploads/2023/02/amigos-2023-telugu-songs-download.jpg,https://mp3teluguwap.net/mp3/2023/Amigos/Yeka%20Yeka.mp3
-Amigos,Enno Ratrulosthayi (Remix),,"-Kalyan Ram, Ashika Ranganathan",-Ghibran,-Rajendra Reddy,,https://sensongsmp3.live/wp-content/uploads/2023/02/amigos-2023-telugu-songs-download.jpg,https://mp3teluguwap.net/mp3/2023/Amigos/2-Enno%20Ratrulosthayi%20(Remix).mp3
-Anni Manchi Sakunamule,Anni Manchi Sakunamule Title Song,,"-Santosh Shoban, Malavika Nair",-Mickey J Meyer,-B.V.Nandini Reddy,,https://sensongsmp3.live/wp-content/uploads/2023/03/Anni-Manchi-Sakunamule-2023.jpg,
-Aa Ammayi Gurinchi Meeku Cheppali,Kottha Kottha Gaa,,"-Sudheer Babu, Krithi Shetty",-Vivek Sagar,-Mohana Krishna Indraganti,,https://sensongsmp3.live/wp-content/uploads/2022/09/Aa-Ammayi-Gurinchi-Cheppali-songs.jpeg,https://mp3teluguwap.net/mp3/2022/Aa%20Ammayi%20Gurinchi%20Meeku%20Cheppali/Kottha%20Kottha%20Gaa.mp3
-Aa Ammayi Gurinchi Meeku Cheppali,Meere Hero Laa,,"-Sudheer Babu, Krithi Shetty",-Vivek Sagar,-Mohana Krishna Indraganti,,https://sensongsmp3.live/wp-content/uploads/2022/09/Aa-Ammayi-Gurinchi-Cheppali-songs.jpeg,https://mp3teluguwap.net/mp3/2022/Aa%20Ammayi%20Gurinchi%20Meeku%20Cheppali/Meere%20Hero%20Laa.mp3
-Aa Ammayi Gurinchi Meeku Cheppali,Aa Merupemito,,"-Sudheer Babu, Krithi Shetty",-Vivek Sagar,-Mohana Krishna Indraganti,,https://sensongsmp3.live/wp-content/uploads/2022/09/Aa-Ammayi-Gurinchi-Cheppali-songs.jpeg,https://mp3teluguwap.net/mp3/2022/Aa%20Ammayi%20Gurinchi%20Meeku%20Cheppali/Aa%20Merupemito.mp3
-Aa Ammayi Gurinchi Meeku Cheppali,Automatic Dharwaja,,"-Sudheer Babu, Krithi Shetty",-Vivek Sagar,-Mohana Krishna Indraganti,,https://sensongsmp3.live/wp-content/uploads/2022/09/Aa-Ammayi-Gurinchi-Cheppali-songs.jpeg,https://mp3teluguwap.net/mp3/2022/Aa%20Ammayi%20Gurinchi%20Meeku%20Cheppali/Automatic%20Dharwaja.mp3
-Aa Ammayi Gurinchi Meeku Cheppali,Andhamina Sundhari,,"-Sudheer Babu, Krithi Shetty",-Vivek Sagar,-Mohana Krishna Indraganti,,https://sensongsmp3.live/wp-content/uploads/2022/09/Aa-Ammayi-Gurinchi-Cheppali-songs.jpeg,https://mp3teluguwap.net/mp3/2022/Aa%20Ammayi%20Gurinchi%20Meeku%20Cheppali/Andhamina%20Sundhari.mp3
-Ante Sundaraniki,The Pancha Kattu,Aruna Sairam,"-Nani, Nazriya Fahadh",-Vivek Sagar,-Vivek Athreya,,https://sensongsmp3.live/wp-content/uploads/2022/06/ante-sundaraniki-songs.jpeg,https://mp3teluguwap.net/mp3/2022/Ante%20Sundaraniki/Ante%20Sundaraniki%20-%20HQ/The%20Pancha%20Kattu.mp3
-Ante Sundaraniki,Entha Chithram,"Anurag Kulkarni, Keerthana Vaidyanathan","-Nani, Nazriya Fahadh",-Vivek Sagar,-Vivek Athreya,,https://sensongsmp3.live/wp-content/uploads/2022/06/ante-sundaraniki-songs.jpeg,https://mp3teluguwap.net/mp3/2022/Ante%20Sundaraniki/Ante%20Sundaraniki%20-%20HQ/Entha%20Chithram.mp3
-Ante Sundaraniki,03.  Rango Ranga,N C Karunya,"-Nani, Nazriya Fahadh",-Vivek Sagar,-Vivek Athreya,,https://sensongsmp3.live/wp-content/uploads/2022/06/ante-sundaraniki-songs.jpeg,https://mp3teluguwap.net/mp3/2022/Ante%20Sundaraniki/Ante%20Sundaraniki%20-%20HQ/Rango%20Ranga.mp3
-Ante Sundaraniki,Thandanaanandha,"Shankar Mahadevan, Swetha Mohan","-Nani, Nazriya Fahadh",-Vivek Sagar,-Vivek Athreya,,https://sensongsmp3.live/wp-content/uploads/2022/06/ante-sundaraniki-songs.jpeg,https://mp3teluguwap.net/mp3/2022/Ante%20Sundaraniki/Ante%20Sundaraniki%20-%20HQ/Thandanaanandha.mp3
-Ante Sundaraniki,Natavara,Mano,"-Nani, Nazriya Fahadh",-Vivek Sagar,-Vivek Athreya,,https://sensongsmp3.live/wp-content/uploads/2022/06/ante-sundaraniki-songs.jpeg,https://mp3teluguwap.net/mp3/2022/Ante%20Sundaraniki/Ante%20Sundaraniki%20-%20HQ/Natavara.mp3
-Ante Sundaraniki,Orori Sanchari,Sachin Balu,"-Nani, Nazriya Fahadh",-Vivek Sagar,-Vivek Athreya,,https://sensongsmp3.live/wp-content/uploads/2022/06/ante-sundaraniki-songs.jpeg,https://mp3teluguwap.net/mp3/2022/Ante%20Sundaraniki/Ante%20Sundaraniki%20-%20HQ/Orori%20Sanchari.mp3
-Ante Sundaraniki,Thera Theesindhi,Shakthisree Gopalan,"-Nani, Nazriya Fahadh",-Vivek Sagar,-Vivek Athreya,,https://sensongsmp3.live/wp-content/uploads/2022/06/ante-sundaraniki-songs.jpeg,https://mp3teluguwap.net/mp3/2022/Ante%20Sundaraniki/Ante%20Sundaraniki%20-%20HQ/Thera%20Theesindhi.mp3
Acharya,Laahe Laahe,"Harika Narayan, Sahithi Chaganti","Chiranjeevi, Kajal Aggarwal, Ram Charan Tej, Pooja Hegde",Mani Sharma,Koratala Siva,,https://sensongsmp3.live/wp-content/uploads/2022/05/Acharya-2022-movie-songs-download.jpeg,https://mp3teluguwap.net/mp3/2021/Acharya/Acharya%20-%20HQ/Laahe%20Laahe%20-%20SenSongsMp3.Com.mp3
Acharya,Neelambari,"Anurag Kulkarni, Ramya Behara","Chiranjeevi, Kajal Aggarwal, Ram Charan Tej, Pooja Hegde",Mani Sharma,Koratala Siva,,https://sensongsmp3.live/wp-content/uploads/2022/05/Acharya-2022-movie-songs-download.jpeg,https://mp3teluguwap.net/mp3/2021/Acharya/Acharya%20-%20HQ/Neelambari.mp3
Acharya,Saana Kastam,"Revanth, Geetha Madhuri","Chiranjeevi, Kajal Aggarwal, Ram Charan Tej, Pooja Hegde",Mani Sharma,Koratala Siva,,https://sensongsmp3.live/wp-content/uploads/2022/05/Acharya-2022-movie-songs-download.jpeg,https://mp3teluguwap.net/mp3/2021/Acharya/Acharya%20-%20HQ/Saana%20Kastam.mp3
Acharya,Bhale Bhale Banjara,"Shankar Mahadevan, Rahul Sipligunj","Chiranjeevi, Kajal Aggarwal, Ram Charan Tej, Pooja Hegde",Mani Sharma,Koratala Siva,,https://sensongsmp3.live/wp-content/uploads/2022/05/Acharya-2022-movie-songs-download.jpeg,https://mp3teluguwap.net/mp3/2021/Acharya/Acharya%20-%20HQ/04-Bhale%20Bhale%20Banjara.mp3
Acharya,Putuka Thone,Anurag Kulkarni,"Chiranjeevi, Kajal Aggarwal, Ram Charan Tej, Pooja Hegde",Mani Sharma,Koratala Siva,,https://sensongsmp3.live/wp-content/uploads/2022/05/Acharya-2022-movie-songs-download.jpeg,https://mp3teluguwap.net/mp3/2021/Acharya/Acharya%20-%20HQ/Putuka%20Thone.mp3
Acharya,Acharya Slokam,ML Shruti,"Chiranjeevi, Kajal Aggarwal, Ram Charan Tej, Pooja Hegde",Mani Sharma,Koratala Siva,,https://sensongsmp3.live/wp-content/uploads/2022/05/Acharya-2022-movie-songs-download.jpeg,https://mp3teluguwap.net/mp3/2021/Acharya/Acharya%20-%20HQ/Acharya%20Slokam.mp3
-Ashoka Vanamlo Arjuna Kalyanam,Oo Aadapilla,,"-Vishwak Sen, Rukshar Dhillon, Ritika Nayak",-Jai Krish,-Vidya Sagar Chinta,,https://sensongsmp3.live/wp-content/uploads/2022/05/Ashoka-Vanamlo-Arjuna-Kalyanam-songs.jpeg,https://mp3teluguwap.net/mp3/2022/Ashoka%20Vanamlo%20Arjuna%20Kalyanam%20(2022)/1-Oo%20Aadapilla.mp3
-Ashoka Vanamlo Arjuna Kalyanam,Sinnavaada,,"-Vishwak Sen, Rukshar Dhillon, Ritika Nayak",-Jai Krish,-Vidya Sagar Chinta,,https://sensongsmp3.live/wp-content/uploads/2022/05/Ashoka-Vanamlo-Arjuna-Kalyanam-songs.jpeg,https://mp3teluguwap.net/mp3/2022/Ashoka%20Vanamlo%20Arjuna%20Kalyanam%20(2022)/Sinnavaada.mp3
-Ashoka Vanamlo Arjuna Kalyanam,Ramsilaka,,"-Vishwak Sen, Rukshar Dhillon, Ritika Nayak",-Jai Krish,-Vidya Sagar Chinta,,https://sensongsmp3.live/wp-content/uploads/2022/05/Ashoka-Vanamlo-Arjuna-Kalyanam-songs.jpeg,https://mp3teluguwap.net/mp3/2022/Ashoka%20Vanamlo%20Arjuna%20Kalyanam%20(2022)/Ram%20Silaka.mp3
-Ashoka Vanamlo Arjuna Kalyanam,Ee Veduka,,"-Vishwak Sen, Rukshar Dhillon, Ritika Nayak",-Jai Krish,-Vidya Sagar Chinta,,https://sensongsmp3.live/wp-content/uploads/2022/05/Ashoka-Vanamlo-Arjuna-Kalyanam-songs.jpeg,https://mp3teluguwap.net/mp3/2022/Ashoka%20Vanamlo%20Arjuna%20Kalyanam%20(2022)/Ee%20Veeduka.mp3
-Atithi Devobhava,Baguntundi,,"-Aadi Saikumar, Nuveksha",-Sekhar Chandra,-Polimera Nageshwar,,https://sensongsmp3.live/wp-content/uploads/2021/10/Atithi-Devo-Bhava-Songs-download-2021.jpeg,https://mp3teluguwap.net/mp3/2021/Atithi%20Devobhava/Baguntundi.mp3
-Atithi Devobhava,Ninnu Chudagane,,"-Aadi Saikumar, Nuveksha",-Sekhar Chandra,-Polimera Nageshwar,,https://sensongsmp3.live/wp-content/uploads/2021/10/Atithi-Devo-Bhava-Songs-download-2021.jpeg,https://mp3teluguwap.net/mp3/111/Ninnu%20Choodagane.mp3
-Atithi Devobhava,Gaaju Bomma Teeruna,,"-Aadi Saikumar, Nuveksha",-Sekhar Chandra,-Polimera Nageshwar,,https://sensongsmp3.live/wp-content/uploads/2021/10/Atithi-Devo-Bhava-Songs-download-2021.jpeg,https://mp3teluguwap.net/mp3/2021/Atithi%20Devobhava/Gaaju%20Bomma%20Teeruna.mp3
-Atithi Devobhava,Chinni Gunde,,"-Aadi Saikumar, Nuveksha",-Sekhar Chandra,-Polimera Nageshwar,,https://sensongsmp3.live/wp-content/uploads/2021/10/Atithi-Devo-Bhava-Songs-download-2021.jpeg,https://mp3teluguwap.net/mp3/2021/Atithi%20Devobhava/Chinni%20Gunde.mp3
-Akhanda,Adigaa Adigaa,"S P Charan , M L Shruti","-Balakrishna, Srikanth, Poorna, Pragya Jaiswal",-S S Thaman,-Boyapati Srinu,,https://sensongsmp3.live/wp-content/uploads/2021/11/Akhanda-Songs-Download-Balakrishna-Srikanth-Poorna-Pragya-Jaiswal.jpeg,https://mp3teluguwap.net/mp3/2021/Akhanda/Akhanda%20-%20HQ/Adigaa%20Adigaa.mp3
-Akhanda,Akhanda Title Song,"Shankar Mahadevan, Siddharth Mahadevan & Shivam Mahadevan","-Balakrishna, Srikanth, Poorna, Pragya Jaiswal",-S S Thaman,-Boyapati Srinu,,https://sensongsmp3.live/wp-content/uploads/2021/11/Akhanda-Songs-Download-Balakrishna-Srikanth-Poorna-Pragya-Jaiswal.jpeg,https://mp3teluguwap.net/mp3/2021/Akhanda/Akhanda%20-%20HQ/Akhanda.mp3
-Akhanda,Jai Balayya (Full Song),"Geetha Madhuri, Sahiti Chaganti, Satya Yamini, Aditi Bhavaraju","-Balakrishna, Srikanth, Poorna, Pragya Jaiswal",-S S Thaman,-Boyapati Srinu,,https://sensongsmp3.live/wp-content/uploads/2021/11/Akhanda-Songs-Download-Balakrishna-Srikanth-Poorna-Pragya-Jaiswal.jpeg,https://mp3teluguwap.net/mp3/2021/Akhanda/Akhanda/3.Jai%20Balayya.mp3
-Akhanda,Jai Balayya (Full Song),"Geetha Madhuri, Sahiti Chaganti, Satya Yamini, Aditi Bhavaraju","-Balakrishna, Srikanth, Poorna, Pragya Jaiswal",-S S Thaman,-Boyapati Srinu,,https://sensongsmp3.live/wp-content/uploads/2021/11/Akhanda-Songs-Download-Balakrishna-Srikanth-Poorna-Pragya-Jaiswal.jpeg,https://mp3teluguwap.net/mp3/2021/Akhanda/Akhanda/3.Jai%20Balayya.mp3
-Akhanda,Akhanda Mass Jathara BGM,"Balakrishna, Thaman S","-Balakrishna, Srikanth, Poorna, Pragya Jaiswal",-S S Thaman,-Boyapati Srinu,,https://sensongsmp3.live/wp-content/uploads/2021/11/Akhanda-Songs-Download-Balakrishna-Srikanth-Poorna-Pragya-Jaiswal.jpeg,https://mp3teluguwap.net/mp3/2021/Akhanda/Akhanda/Akhanda%20Mass%20Jathara.mp3
-Akhanda,Akhanda Mass Jathara BGM,"Balakrishna, Thaman S","-Balakrishna, Srikanth, Poorna, Pragya Jaiswal",-S S Thaman,-Boyapati Srinu,,https://sensongsmp3.live/wp-content/uploads/2021/11/Akhanda-Songs-Download-Balakrishna-Srikanth-Poorna-Pragya-Jaiswal.jpeg,https://mp3teluguwap.net/mp3/2021/Akhanda/Akhanda/Akhanda%20Mass%20Jathara.mp3
-Akhanda,Amma Song,Mohana Bhogaraju,"-Balakrishna, Srikanth, Poorna, Pragya Jaiswal",-S S Thaman,-Boyapati Srinu,,https://sensongsmp3.live/wp-content/uploads/2021/11/Akhanda-Songs-Download-Balakrishna-Srikanth-Poorna-Pragya-Jaiswal.jpeg,https://mp3teluguwap.net/mp3/2021/Akhanda/Akhanda%20-%20HQ/Amma.mp3
-Aakashavaani,Dhimsare,,"-P.Samuthirakani, Vinay Varma, Teja Kakumanu, Prashant",-Kaala Bhairava,-Ashwin Gangaraju,,https://sensongsmp3.live/wp-content/uploads/2021/07/Aakashavani-2021.jpg,https://mp3teluguwap.net/mp3/2021/Aakashavaani/Dhimsare.mp3
